# file...... line32.csv
# date...... Wed Mar 20 13:02:44 2019
# user...... xiej204
# host...... (null)
# target.... underground_line 145
# trigger... (none)
# interval.. 1
# limit..... 1000
# timestamp,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag
2010-01-01 00:00:00 EST,+46368.9,+66987.8,+1.88598e-005,-2.56423e-006,+80250.5,-6389.21
2010-01-01 00:00:01 EST,+46368.9,+66987.8,+1.99452e-005,-3.25305e-005,+80250.5,-6389.21
2010-01-01 00:00:02 EST,+46368.9,+66987.8,+1.20131e-006,-4.75584e-006,+80250.5,-6389.21
2010-01-01 00:00:03 EST,+46368.9,+66987.8,-1.39575e-005,+2.70802e-005,+80250.5,-6389.21
2010-01-01 00:00:04 EST,+46368.9,+66987.8,-4.48313e-006,+6.10748e-006,+80250.5,-6389.21
2010-01-01 00:00:05 EST,+46368.9,+66987.8,+3.04565e-006,-1.37102e-005,+80250.5,-6389.21
2010-01-01 00:00:06 EST,+46368.9,+66987.8,+2.44092e-005,-3.03689e-005,+80250.5,-6389.21
2010-01-01 00:00:07 EST,+46368.9,+66987.8,+1.05469e-005,-3.10775e-005,+80250.5,-6389.21
2010-01-01 00:00:08 EST,+46368.9,+66987.8,-8.61369e-006,-2.40185e-005,+80250.5,-6389.21
2010-01-01 00:00:09 EST,+46368.9,+66987.8,+4.44189e-005,-7.11887e-005,+80250.5,-6389.21
2010-01-01 00:00:10 EST,+46368.9,+66987.8,+1.79041e-005,-3.35076e-005,+80250.5,-6389.21
2010-01-01 00:00:11 EST,+46368.9,+66987.8,+2.22024e-005,-2.5701e-005,+80250.5,-6389.21
2010-01-01 00:00:12 EST,+46368.9,+66987.8,+1.74853e-005,+2.25686e-005,+80250.5,-6389.21
2010-01-01 00:00:13 EST,+46368.9,+66987.8,+1.45437e-006,+2.74196e-007,+80250.5,-6389.21
2010-01-01 00:00:14 EST,+46368.9,+66987.8,+2.85048e-005,-5.02176e-005,+80250.5,-6389.21
2010-01-01 00:00:15 EST,+46368.9,+66987.8,+1.21014e-005,-1.29288e-005,+80250.5,-6389.21
2010-01-01 00:00:16 EST,+46368.9,+66987.8,+2.58951e-005,-5.56953e-005,+80250.5,-6389.21
2010-01-01 00:00:17 EST,+46368.9,+66987.8,+1.12995e-005,-1.86124e-005,+80250.5,-6389.21
2010-01-01 00:00:18 EST,+46368.9,+66987.8,-1.60356e-006,-3.00897e-005,+80250.5,-6389.21
2010-01-01 00:00:19 EST,+46368.9,+66987.8,+4.63165e-005,-6.95644e-005,+80250.5,-6389.21
2010-01-01 00:00:20 EST,+46368.9,+66987.8,+1.9389e-006,-1.28705e-005,+80250.5,-6389.21
2010-01-01 00:00:21 EST,+46368.9,+66987.8,+3.75384e-005,-3.51165e-005,+80250.5,-6389.21
2010-01-01 00:00:22 EST,+0,+0,+0,+0,+0,+0
2010-01-01 00:00:23 EST,+0,+0,+0,+0,+0,+0
2010-01-01 00:00:24 EST,+0,+0,+0,+0,+0,+0
2010-01-01 00:00:25 EST,+0,+0,+0,+0,+0,+0
2010-01-01 00:00:26 EST,+0,+0,+0,+0,+0,+0
2010-01-01 00:00:27 EST,+0,+0,+0,+0,+0,+0
2010-01-01 00:00:28 EST,+0,+0,+0,+0,+0,+0
2010-01-01 00:00:29 EST,+0,+0,+0,+0,+0,+0
2010-01-01 00:00:30 EST,+0,+0,+0,+0,+0,+0
2010-01-01 00:00:31 EST,+0,+0,+0,+0,+0,+0
2010-01-01 00:00:32 EST,+46369,+66987.8,+1.98358e-005,-1.71281e-005,+80250.5,-6389.2
2010-01-01 00:00:33 EST,+46368.9,+66987.8,+2.80644e-005,-3.6245e-005,+80250.5,-6389.21
2010-01-01 00:00:34 EST,+46368.9,+66987.8,+2.3093e-005,-4.36602e-005,+80250.5,-6389.21
2010-01-01 00:00:35 EST,+46368.9,+66987.8,+2.16132e-005,-3.25909e-005,+80250.5,-6389.21
2010-01-01 00:00:36 EST,+46368.9,+66987.8,+4.59151e-006,-1.35357e-006,+80250.5,-6389.21
2010-01-01 00:00:37 EST,+46368.9,+66987.8,-2.43501e-006,+1.48547e-006,+80250.5,-6389.21
