# file...... line26.csv
# date...... Wed Mar 20 13:02:44 2019
# user...... xiej204
# host...... (null)
# target.... underground_line 139
# trigger... (none)
# interval.. 1
# limit..... 1000
# timestamp,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag
2010-01-01 00:00:00 EST,+96541.8,+17460,+73164.8,+67040.9,+41188.5,+20801.1
2010-01-01 00:00:01 EST,+96541.8,+17460,+73164.8,+67040.9,+41188.5,+20801.1
2010-01-01 00:00:02 EST,+96541.8,+17460,+73164.8,+67040.9,+41188.5,+20801.1
2010-01-01 00:00:03 EST,+96541.8,+17460,+73164.8,+67040.9,+41188.5,+20801.1
2010-01-01 00:00:04 EST,+96541.8,+17460,+73164.8,+67040.9,+41188.5,+20801.1
2010-01-01 00:00:05 EST,+96541.8,+17460,+73164.8,+67040.9,+41188.5,+20801.1
2010-01-01 00:00:06 EST,+96541.8,+17460,+73164.8,+67040.9,+41188.5,+20801.1
2010-01-01 00:00:07 EST,+96541.8,+17460,+73164.8,+67040.9,+41188.5,+20801.1
2010-01-01 00:00:08 EST,+96541.8,+17460,+73164.8,+67040.9,+41188.5,+20801.1
2010-01-01 00:00:09 EST,+96541.8,+17460,+73164.8,+67040.9,+41188.5,+20801.1
2010-01-01 00:00:10 EST,+96541.8,+17460,+73164.8,+67040.9,+41188.5,+20801.1
2010-01-01 00:00:11 EST,+96541.8,+17460,+73164.8,+67040.9,+41188.5,+20801.1
2010-01-01 00:00:12 EST,+96541.8,+17460,+73164.8,+67040.9,+41188.5,+20801.1
2010-01-01 00:00:13 EST,+96541.8,+17460,+73164.8,+67040.9,+41188.5,+20801.1
2010-01-01 00:00:14 EST,+96541.8,+17460,+73164.8,+67040.9,+41188.5,+20801.1
2010-01-01 00:00:15 EST,+96541.8,+17460,+73164.8,+67040.9,+41188.5,+20801.1
2010-01-01 00:00:16 EST,+96541.8,+17460,+73164.8,+67040.9,+41188.5,+20801.1
2010-01-01 00:00:17 EST,+96541.8,+17460,+73164.8,+67040.9,+41188.5,+20801.1
2010-01-01 00:00:18 EST,+96541.8,+17460,+73164.8,+67040.9,+41188.5,+20801.1
2010-01-01 00:00:19 EST,+96541.8,+17460,+73164.8,+67040.9,+41188.5,+20801.1
2010-01-01 00:00:20 EST,+96541.8,+17460,+73164.8,+67040.9,+41188.5,+20801.1
2010-01-01 00:00:21 EST,+96541.8,+17460,+73164.8,+67040.9,+41188.5,+20801.1
2010-01-01 00:00:22 EST,+97073.7,+17740,+73286.7,+67051.2,+41052.8,+20865.6
2010-01-01 00:00:23 EST,+97073.7,+17740,+73286.7,+67051.2,+41052.8,+20865.6
2010-01-01 00:00:24 EST,+97073.7,+17740,+73286.7,+67051.2,+41052.8,+20865.6
2010-01-01 00:00:25 EST,+97073.7,+17740,+73286.7,+67051.2,+41052.8,+20865.6
2010-01-01 00:00:26 EST,+97073.7,+17740,+73286.7,+67051.2,+41052.8,+20865.6
2010-01-01 00:00:27 EST,+97073.7,+17740,+73286.7,+67051.2,+41052.8,+20865.6
2010-01-01 00:00:28 EST,+97073.7,+17740,+73286.7,+67051.2,+41052.8,+20865.6
2010-01-01 00:00:29 EST,+97073.7,+17740,+73286.7,+67051.2,+41052.8,+20865.6
