# file...... line18.csv
# date...... Wed Mar 20 13:02:44 2019
# user...... xiej204
# host...... (null)
# target.... underground_line 131
# trigger... (none)
# interval.. 1
# limit..... 1000
# timestamp,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag
2010-01-01 00:00:00 EST,+31441,+44707.9,+1.70687e-006,+1.59506e-006,+53606.8,-4691.13
2010-01-01 00:00:01 EST,+31441,+44707.9,+1.33104e-005,-4.77191e-006,+53606.8,-4691.12
2010-01-01 00:00:02 EST,+31441,+44707.9,+3.6552e-006,+3.29756e-006,+53606.8,-4691.12
2010-01-01 00:00:03 EST,+31441,+44707.9,+5.30396e-006,-4.13256e-006,+53606.8,-4691.12
2010-01-01 00:00:04 EST,+31441,+44707.9,-1.67399e-006,+3.69172e-006,+53606.8,-4691.12
2010-01-01 00:00:05 EST,+31441,+44707.9,+5.18974e-006,-2.11072e-006,+53606.8,-4691.12
2010-01-01 00:00:06 EST,+31441,+44707.9,+1.2798e-005,-4.76752e-006,+53606.8,-4691.12
2010-01-01 00:00:07 EST,+31441,+44707.9,+7.35273e-006,-1.091e-005,+53606.8,-4691.12
2010-01-01 00:00:08 EST,+31441,+44707.9,-1.58536e-006,-5.71516e-006,+53606.8,-4691.12
2010-01-01 00:00:09 EST,+31441,+44707.9,+4.60455e-006,-1.79201e-007,+53606.8,-4691.12
2010-01-01 00:00:10 EST,+31441,+44707.9,+7.15778e-006,+1.25216e-006,+53606.8,-4691.12
2010-01-01 00:00:11 EST,+31441,+44707.9,+2.59821e-006,-9.07463e-006,+53606.8,-4691.12
2010-01-01 00:00:12 EST,+31441,+44707.9,+6.79594e-006,+7.29286e-006,+53606.8,-4691.12
2010-01-01 00:00:13 EST,+31441,+44707.9,+1.40309e-005,-7.19817e-006,+53606.8,-4691.12
2010-01-01 00:00:14 EST,+31441,+44707.9,+6.10959e-006,+4.80981e-006,+53606.8,-4691.12
2010-01-01 00:00:15 EST,+31441,+44707.9,+1.19568e-005,+8.30584e-006,+53606.8,-4691.12
2010-01-01 00:00:16 EST,+31441,+44707.9,+1.332e-005,-7.76818e-006,+53606.8,-4691.12
2010-01-01 00:00:17 EST,+31441,+44707.9,-1.79808e-006,+9.10205e-006,+53606.8,-4691.12
2010-01-01 00:00:18 EST,+31441,+44707.9,+1.3796e-005,-3.77353e-006,+53606.8,-4691.12
2010-01-01 00:00:19 EST,+31441,+44707.9,+5.4012e-007,+4.00973e-006,+53606.8,-4691.12
2010-01-01 00:00:20 EST,+31441,+44707.9,+1.45117e-005,-4.57445e-006,+53606.8,-4691.12
2010-01-01 00:00:21 EST,+31441,+44707.9,+3.55669e-006,+1.81619e-006,+53606.8,-4691.12
2010-01-01 00:00:22 EST,+0,+0,+0,+0,+0,+0
2010-01-01 00:00:23 EST,+0,+0,+0,+0,+0,+0
2010-01-01 00:00:24 EST,+0,+0,+0,+0,+0,+0
2010-01-01 00:00:25 EST,+0,+0,+0,+0,+0,+0
2010-01-01 00:00:26 EST,+0,+0,+0,+0,+0,+0
2010-01-01 00:00:27 EST,+0,+0,+0,+0,+0,+0
2010-01-01 00:00:28 EST,+0,+0,+0,+0,+0,+0
2010-01-01 00:00:29 EST,+0,+0,+0,+0,+0,+0
2010-01-01 00:00:30 EST,+0,+0,+0,+0,+0,+0
2010-01-01 00:00:31 EST,+0,+0,+0,+0,+0,+0
2010-01-01 00:00:32 EST,+31441,+44707.9,+9.00804e-006,+5.16418e-006,+53606.7,-4691.12
2010-01-01 00:00:33 EST,+31441,+44707.9,-1.6212e-006,+1.46121e-005,+53606.8,-4691.12
2010-01-01 00:00:34 EST,+31441,+44707.9,-1.4375e-005,+2.43234e-005,+53606.8,-4691.12
2010-01-01 00:00:35 EST,+31441,+44707.9,-1.41655e-006,+1.18041e-005,+53606.8,-4691.12
2010-01-01 00:00:36 EST,+31441,+44707.9,+1.5982e-006,+1.30027e-005,+53606.8,-4691.12
2010-01-01 00:00:37 EST,+31441,+44707.9,-1.56684e-006,+1.45029e-005,+53606.8,-4691.12
2010-01-01 00:00:38 EST,+31441,+44707.9,+1.30692e-005,-1.53105e-005,+53606.8,-4691.12
2010-01-01 00:00:39 EST,+31441,+44707.9,+7.67941e-006,+3.33227e-007,+53606.8,-4691.12
2010-01-01 00:00:40 EST,+31441,+44707.9,-6.37982e-006,-4.20153e-006,+53606.8,-4691.12
2010-01-01 00:00:41 EST,+31441,+44707.9,-6.57192e-007,-1.86504e-006,+53606.8,-4691.12
2010-01-01 00:00:42 EST,+31441,+44707.9,+7.01772e-006,+1.11274e-005,+53606.8,-4691.12
2010-01-01 00:00:43 EST,+31441,+44707.9,+1.50196e-005,-1.01416e-005,+53606.8,-4691.12
2010-01-01 00:00:44 EST,+31441,+44707.9,+1.75276e-005,-1.42875e-005,+53606.8,-4691.12
2010-01-01 00:00:45 EST,+31441,+44707.9,+8.65874e-006,+1.10649e-006,+53606.8,-4691.12
2010-01-01 00:00:46 EST,+31441,+44707.9,-5.39929e-006,+2.83389e-006,+53606.8,-4691.12
2010-01-01 00:00:47 EST,+31441,+44707.9,-4.85598e-007,+1.07078e-005,+53606.8,-4691.12
2010-01-01 00:00:48 EST,+31441,+44707.9,+5.429e-008,-1.06952e-006,+53606.8,-4691.12
2010-01-01 00:00:49 EST,+31441,+44707.9,+8.41281e-006,-1.0471e-005,+53606.8,-4691.12
2010-01-01 00:00:50 EST,+31441,+44707.9,+1.47774e-006,-3.11377e-006,+53606.8,-4691.12
2010-01-01 00:00:51 EST,+31441,+44707.9,-1.94142e-006,+7.50869e-006,+53606.8,-4691.12
2010-01-01 00:00:52 EST,+31441,+44707.9,+5.64703e-006,-7.65212e-006,+53606.8,-4691.12
2010-01-01 00:00:53 EST,+31441,+44707.9,+9.77732e-006,-4.53603e-006,+53606.8,-4691.12
2010-01-01 00:00:54 EST,+31441,+44707.9,+2.84013e-006,-3.41649e-006,+53606.8,-4691.12
2010-01-01 00:00:55 EST,+31441,+44707.9,+6.86237e-006,+5.78413e-006,+53606.8,-4691.12
2010-01-01 00:00:56 EST,+31441,+44707.9,+1.53225e-005,-1.07369e-005,+53606.8,-4691.12
2010-01-01 00:00:57 EST,+31441,+44707.9,+6.67299e-006,-3.72043e-006,+53606.8,-4691.12
2010-01-01 00:00:58 EST,+31441,+44707.9,+6.7371e-006,+4.7204e-006,+53606.8,-4691.12
2010-01-01 00:00:59 EST,+31441,+44707.9,+1.01782e-005,-7.10581e-007,+53606.8,-4691.12
