# file...... line20.csv
# date...... Wed Mar 20 13:02:44 2019
# user...... xiej204
# host...... (null)
# target.... underground_line 133
# trigger... (none)
# interval.. 1
# limit..... 1000
# timestamp,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag
2010-01-01 00:00:00 EST,+14983.5,+22282.8,+6.01207e-006,-8.63782e-006,+26476.6,-1770.16
2010-01-01 00:00:01 EST,+14983.5,+22282.8,+6.02152e-006,-1.05269e-005,+26476.6,-1770.16
2010-01-01 00:00:02 EST,+14983.5,+22282.8,-1.16477e-005,+5.28685e-006,+26476.6,-1770.16
2010-01-01 00:00:03 EST,+14983.5,+22282.8,+4.17423e-006,+7.38857e-006,+26476.6,-1770.16
2010-01-01 00:00:04 EST,+14983.5,+22282.8,+1.20661e-006,-5.04801e-006,+26476.6,-1770.16
2010-01-01 00:00:05 EST,+14983.5,+22282.8,-6.77377e-007,-9.99987e-006,+26476.6,-1770.16
2010-01-01 00:00:06 EST,+14983.5,+22282.8,+2.57789e-005,-2.97605e-005,+26476.6,-1770.16
2010-01-01 00:00:07 EST,+14983.5,+22282.8,-4.78339e-006,-6.42055e-006,+26476.6,-1770.16
2010-01-01 00:00:08 EST,+14983.5,+22282.8,-9.1772e-006,-9.18665e-006,+26476.6,-1770.16
2010-01-01 00:00:09 EST,+14983.5,+22282.8,+1.02887e-005,-2.19127e-005,+26476.6,-1770.16
2010-01-01 00:00:10 EST,+14983.5,+22282.8,+7.18463e-006,-1.71588e-005,+26476.6,-1770.16
2010-01-01 00:00:11 EST,+14983.5,+22282.8,+1.40925e-005,-4.80375e-006,+26476.6,-1770.16
2010-01-01 00:00:12 EST,+14983.5,+22282.8,-9.67014e-006,+1.73568e-005,+26476.6,-1770.16
2010-01-01 00:00:13 EST,+14983.5,+22282.8,-4.71846e-006,+1.28634e-005,+26476.6,-1770.16
2010-01-01 00:00:14 EST,+14983.5,+22282.8,+5.17945e-006,-1.15552e-005,+26476.6,-1770.16
2010-01-01 00:00:15 EST,+14983.5,+22282.8,+2.2995e-006,-5.20685e-006,+26476.6,-1770.16
2010-01-01 00:00:16 EST,+14983.5,+22282.8,+9.40053e-006,-2.22896e-005,+26476.6,-1770.16
2010-01-01 00:00:17 EST,+14983.5,+22282.8,+1.23416e-005,-1.80567e-005,+26476.6,-1770.16
2010-01-01 00:00:18 EST,+14983.5,+22282.8,-7.42726e-006,-8.77719e-006,+26476.6,-1770.16
2010-01-01 00:00:19 EST,+14983.5,+22282.8,+8.19367e-006,-1.90645e-005,+26476.6,-1770.16
2010-01-01 00:00:20 EST,+14983.5,+22282.8,-6.16224e-006,-1.18773e-005,+26476.6,-1770.16
2010-01-01 00:00:21 EST,+14983.5,+22282.8,-9.13731e-006,+8.78182e-006,+26476.6,-1770.16
2010-01-01 00:00:22 EST,+0,+0,+0,+0,+0,+0
2010-01-01 00:00:23 EST,+0,+0,+0,+0,+0,+0
2010-01-01 00:00:24 EST,+0,+0,+0,+0,+0,+0
2010-01-01 00:00:25 EST,+0,+0,+0,+0,+0,+0
2010-01-01 00:00:26 EST,+0,+0,+0,+0,+0,+0
2010-01-01 00:00:27 EST,+0,+0,+0,+0,+0,+0
2010-01-01 00:00:28 EST,+0,+0,+0,+0,+0,+0
2010-01-01 00:00:29 EST,+0,+0,+0,+0,+0,+0
2010-01-01 00:00:30 EST,+0,+0,+0,+0,+0,+0
2010-01-01 00:00:31 EST,+0,+0,+0,+0,+0,+0
2010-01-01 00:00:32 EST,+14983.5,+22282.8,+3.972e-006,-4.20338e-006,+26476.6,-1770.16
2010-01-01 00:00:33 EST,+14983.5,+22282.8,+6.00733e-006,-4.12761e-006,+26476.6,-1770.16
2010-01-01 00:00:34 EST,+14983.5,+22282.8,+3.99403e-006,-2.06193e-005,+26476.6,-1770.16
2010-01-01 00:00:35 EST,+14983.5,+22282.8,+1.25544e-005,-1.2671e-005,+26476.6,-1770.16
2010-01-01 00:00:36 EST,+14983.5,+22282.8,+2.68719e-006,-1.34394e-005,+26476.6,-1770.16
2010-01-01 00:00:37 EST,+14983.5,+22282.8,-2.82785e-006,+2.42045e-006,+26476.6,-1770.16
2010-01-01 00:00:38 EST,+14983.5,+22282.8,+9.62352e-006,-1.77071e-005,+26476.6,-1770.16
2010-01-01 00:00:39 EST,+14983.5,+22282.8,-6.46511e-006,-1.29382e-006,+26476.6,-1770.16
2010-01-01 00:00:40 EST,+14983.5,+22282.8,-5.40404e-006,-5.05887e-006,+26476.6,-1770.16
2010-01-01 00:00:41 EST,+14983.5,+22282.8,-4.51972e-007,-1.21925e-005,+26476.6,-1770.16
2010-01-01 00:00:42 EST,+14983.5,+22282.8,+1.05305e-005,-2.59189e-005,+26476.6,-1770.16
2010-01-01 00:00:43 EST,+14983.5,+22282.8,-1.35264e-006,-3.53156e-006,+26476.6,-1770.16
2010-01-01 00:00:44 EST,+14983.5,+22282.8,+1.23792e-006,-9.49766e-006,+26476.6,-1770.16
2010-01-01 00:00:45 EST,+14983.5,+22282.8,-3.9467e-006,-4.5273e-006,+26476.6,-1770.16
2010-01-01 00:00:46 EST,+14983.5,+22282.8,-1.1454e-005,+1.38657e-006,+26476.6,-1770.16
2010-01-01 00:00:47 EST,+14983.5,+22282.8,-4.72661e-006,+5.1679e-006,+26476.6,-1770.16
2010-01-01 00:00:48 EST,+14983.5,+22282.8,-1.91027e-006,-3.55613e-006,+26476.6,-1770.16
2010-01-01 00:00:49 EST,+14983.5,+22282.8,+3.44073e-006,-9.89375e-006,+26476.6,-1770.16
2010-01-01 00:00:50 EST,+14983.5,+22282.8,+1.22034e-005,-8.78865e-006,+26476.6,-1770.16
2010-01-01 00:00:51 EST,+14983.5,+22282.8,-1.63478e-006,+5.72659e-008,+26476.6,-1770.16
2010-01-01 00:00:52 EST,+14983.5,+22282.8,+1.09399e-005,-1.14418e-005,+26476.6,-1770.16
2010-01-01 00:00:53 EST,+14983.5,+22282.8,-1.90859e-006,-2.19115e-006,+26476.6,-1770.16
2010-01-01 00:00:54 EST,+14983.5,+22282.8,-6.2315e-006,-1.92072e-006,+26476.6,-1770.16
