# file...... line6.csv
# date...... Wed Mar 20 13:02:44 2019
# user...... xiej204
# host...... (null)
# target.... underground_line 119
# trigger... (none)
# interval.. 1
# limit..... 1000
# timestamp,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag
2010-01-01 00:00:00 EST,+369602,+187851,+212914,+185317,+287352,+48884.3
2010-01-01 00:00:01 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
2010-01-01 00:00:02 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
2010-01-01 00:00:03 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
2010-01-01 00:00:04 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
2010-01-01 00:00:05 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
2010-01-01 00:00:06 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
2010-01-01 00:00:07 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
2010-01-01 00:00:08 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
2010-01-01 00:00:09 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
2010-01-01 00:00:10 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
2010-01-01 00:00:11 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
2010-01-01 00:00:12 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
2010-01-01 00:00:13 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
2010-01-01 00:00:14 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
2010-01-01 00:00:15 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
2010-01-01 00:00:16 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
2010-01-01 00:00:17 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
2010-01-01 00:00:18 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
2010-01-01 00:00:19 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
2010-01-01 00:00:20 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
2010-01-01 00:00:21 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
2010-01-01 00:00:22 EST,+32795.3,+46007.8,-2.74339e-005,+3.34021e-005,+54771.3,-4788.76
2010-01-01 00:00:23 EST,+32795.3,+46007.8,+2.91815e-005,-4.56293e-006,+54771.3,-4788.75
2010-01-01 00:00:24 EST,+32795.3,+46007.8,+1.05392e-005,+6.4626e-007,+54771.3,-4788.75
2010-01-01 00:00:25 EST,+32795.3,+46007.8,-2.09515e-006,+6.87364e-006,+54771.3,-4788.75
2010-01-01 00:00:26 EST,+32795.3,+46007.8,+2.33724e-005,-3.8219e-006,+54771.3,-4788.75
2010-01-01 00:00:27 EST,+32795.3,+46007.8,+2.23274e-005,+4.44788e-006,+54771.3,-4788.75
2010-01-01 00:00:28 EST,+32795.3,+46007.8,-1.31734e-005,+2.56075e-005,+54771.3,-4788.75
2010-01-01 00:00:29 EST,+32795.3,+46007.8,+1.17375e-005,+1.49507e-007,+54771.3,-4788.75
2010-01-01 00:00:30 EST,+32795.3,+46007.8,+1.01362e-006,+2.23813e-005,+54771.3,-4788.75
2010-01-01 00:00:31 EST,+32795.3,+46007.8,+1.10543e-005,+4.27066e-006,+54771.3,-4788.75
2010-01-01 00:00:32 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
2010-01-01 00:00:33 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
2010-01-01 00:00:34 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
2010-01-01 00:00:35 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
2010-01-01 00:00:36 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
2010-01-01 00:00:37 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
2010-01-01 00:00:38 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
2010-01-01 00:00:39 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
2010-01-01 00:00:40 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
2010-01-01 00:00:41 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
2010-01-01 00:00:42 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
2010-01-01 00:00:43 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
2010-01-01 00:00:44 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
2010-01-01 00:00:45 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
2010-01-01 00:00:46 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
2010-01-01 00:00:47 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
2010-01-01 00:00:48 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
2010-01-01 00:00:49 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
2010-01-01 00:00:50 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
2010-01-01 00:00:51 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
2010-01-01 00:00:52 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
2010-01-01 00:00:53 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
2010-01-01 00:00:54 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
2010-01-01 00:00:55 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
2010-01-01 00:00:56 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
2010-01-01 00:00:57 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
2010-01-01 00:00:58 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
2010-01-01 00:00:59 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
2010-01-01 00:01:00 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
2010-01-01 00:01:01 EST,+369602,+187851,+212914,+185317,+287352,+48884.4
