# file...... line23.csv
# date...... Wed Mar 20 13:02:44 2019
# user...... xiej204
# host...... (null)
# target.... underground_line 136
# trigger... (none)
# interval.. 1
# limit..... 1000
# timestamp,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag
2010-01-01 00:00:00 EST,+56069.2,-4764.1,+32492.1,+46419.6,+2.38989e-006,+3.17289e-006
2010-01-01 00:00:01 EST,+56069.2,-4764.1,+32492.1,+46419.6,-1.08193e-006,-6.6539e-006
2010-01-01 00:00:02 EST,+56069.2,-4764.1,+32492.1,+46419.6,-1.06412e-005,+1.85838e-006
2010-01-01 00:00:03 EST,+56069.2,-4764.1,+32492.1,+46419.6,-1.87223e-005,-1.1274e-005
2010-01-01 00:00:04 EST,+56069.2,-4764.1,+32492.1,+46419.6,+1.85085e-006,-2.69393e-006
2010-01-01 00:00:05 EST,+56069.2,-4764.1,+32492.1,+46419.6,-1.63052e-005,+1.41588e-006
2010-01-01 00:00:06 EST,+56069.2,-4764.1,+32492.1,+46419.6,-1.71514e-006,+7.96811e-006
2010-01-01 00:00:07 EST,+56069.2,-4764.1,+32492.1,+46419.6,-4.50571e-006,-1.31011e-005
2010-01-01 00:00:08 EST,+56069.2,-4764.1,+32492.1,+46419.6,+9.87727e-006,+4.0839e-006
2010-01-01 00:00:09 EST,+56069.2,-4764.1,+32492.1,+46419.6,-1.63684e-005,+2.36102e-006
2010-01-01 00:00:10 EST,+56069.2,-4764.1,+32492.1,+46419.6,-1.24013e-005,-8.77483e-006
2010-01-01 00:00:11 EST,+56069.2,-4764.1,+32492.1,+46419.6,-2.5744e-006,+1.54107e-007
2010-01-01 00:00:12 EST,+56069.2,-4764.1,+32492.1,+46419.6,-2.3272e-005,-7.09449e-006
2010-01-01 00:00:13 EST,+56069.2,-4764.1,+32492.1,+46419.6,-1.40051e-005,+6.24591e-006
2010-01-01 00:00:14 EST,+56069.2,-4764.1,+32492.1,+46419.6,-1.03687e-005,-4.65802e-006
2010-01-01 00:00:15 EST,+56069.2,-4764.1,+32492.1,+46419.6,-8.96132e-006,-8.48439e-006
2010-01-01 00:00:16 EST,+56069.2,-4764.1,+32492.1,+46419.6,-8.79204e-006,+5.76091e-006
2010-01-01 00:00:17 EST,+56069.2,-4764.1,+32492.1,+46419.6,-4.52564e-006,-7.95801e-006
2010-01-01 00:00:18 EST,+56069.2,-4764.1,+32492.1,+46419.6,-2.14026e-005,+3.387e-007
2010-01-01 00:00:19 EST,+56069.2,-4764.1,+32492.1,+46419.6,-6.51409e-006,-2.58841e-006
2010-01-01 00:00:20 EST,+56069.2,-4764.1,+32492.1,+46419.6,+2.52793e-006,-8.20859e-006
2010-01-01 00:00:21 EST,+56069.2,-4764.1,+32492.1,+46419.6,-2.6692e-006,+3.50859e-007
2010-01-01 00:00:22 EST,+57035.2,-4740.43,+32983.8,+47081.5,+4.54517e-006,-4.12838e-006
2010-01-01 00:00:23 EST,+57035.2,-4740.43,+32983.8,+47081.5,-1.04073e-005,+4.90425e-006
2010-01-01 00:00:24 EST,+57035.2,-4740.43,+32983.8,+47081.5,-2.81746e-006,+2.37251e-006
2010-01-01 00:00:25 EST,+57035.2,-4740.43,+32983.8,+47081.5,-1.74804e-005,+4.86884e-006
2010-01-01 00:00:26 EST,+57035.2,-4740.43,+32983.8,+47081.5,-1.02076e-005,-2.46222e-006
2010-01-01 00:00:27 EST,+57035.2,-4740.43,+32983.8,+47081.5,-1.39263e-005,-8.74463e-006
2010-01-01 00:00:28 EST,+57035.2,-4740.43,+32983.8,+47081.5,-6.50539e-006,-1.20991e-005
2010-01-01 00:00:29 EST,+57035.2,-4740.43,+32983.8,+47081.5,-1.49054e-005,-4.30239e-006
2010-01-01 00:00:30 EST,+57035.2,-4740.43,+32983.8,+47081.5,-5.22211e-006,-2.86341e-007
2010-01-01 00:00:31 EST,+57035.2,-4740.43,+32983.8,+47081.5,-1.45474e-005,+6.37369e-006
2010-01-01 00:00:32 EST,+56069.2,-4764.09,+32492.1,+46419.6,-8.95515e-006,+9.76479e-007
2010-01-01 00:00:33 EST,+56069.2,-4764.1,+32492.1,+46419.6,-8.66789e-006,-2.73937e-006
